hex_id,residential,transport,medical,supermarkets,offices,education,parks,pharmacy_comp,cafe_comp,pvz_comp
89119ec145bffff,13,1,0,0,0,0,0,1,0,2
89119ec14c3ffff,7,0,1,2,3,0,0,4,0,2
89119ed8dcbffff,1,0,0,1,0,0,0,0,0,0
89119ed8983ffff,3,0,0,1,1,0,0,0,1,0
89119ec16abffff,0,0,0,0,1,0,0,0,0,0
89119ed8913ffff,0,1,0,0,0,0,0,0,0,0
89119ed8917ffff,0,1,0,0,0,0,0,0,0,0
89119ec1687ffff,5,0,3,2,0,0,1,0,0,0
89119ed8d67ffff,3,1,1,1,0,0,0,1,0,0
89119ed892bffff,6,0,1,0,2,0,0,0,1,1
89119ec1607ffff,4,0,1,0,1,0,1,0,0,0
89119ed8837ffff,0,0,0,0,1,0,0,0,0,0
89119ec16a3ffff,5,0,0,1,0,0,1,1,1,1
89119ec1403ffff,7,0,1,4,1,0,0,2,1,2
89119ec326bffff,4,0,0,1,1,0,1,3,1,1
89119ec329bffff,1,2,0,2,1,0,0,1,2,1
89119ec3217ffff,3,0,0,0,0,0,0,0,1,0
89119ed8993ffff,4,0,0,0,0,0,0,0,0,0
89119ec322fffff,7,0,0,3,1,0,0,0,1,2
89119ed8d77ffff,0,1,0,1,0,0,0,0,0,0
89119ed8d2fffff,8,1,0,0,1,0,0,0,0,0
89119ed89d7ffff,0,1,0,0,1,0,0,0,0,0
89119ec3283ffff,0,2,0,0,0,0,0,0,0,0
89119ec148bffff,4,0,0,2,0,0,0,1,0,2
89119ec1483ffff,6,0,1,0,0,0,0,2,1,2
89119ec14dbffff,3,0,1,1,1,0,2,1,0,1
89119ec1473ffff,4,0,0,1,0,0,0,1,0,1
89119ec326fffff,7,0,0,0,1,0,0,0,0,1
89119ec163bffff,2,0,0,2,0,0,0,0,0,0
89119ec14cbffff,2,0,0,0,0,0,0,1,0,1
89119ed8dc7ffff,6,0,0,1,0,0,0,0,0,0
89119ed8dabffff,7,0,0,1,0,0,0,0,0,1
89119ec144fffff,2,0,0,0,0,0,0,2,0,1
89119ed8d47ffff,13,0,0,4,0,0,0,2,0,2
89119ed890fffff,0,0,0,0,1,0,0,0,0,0
89119ed8d0fffff,15,0,0,1,0,0,0,0,0,1
89119ec1417ffff,3,0,0,1,0,0,0,1,0,1
89119ec1407ffff,4,0,0,1,0,0,0,4,1,1
89119ec1627ffff,0,0,0,0,0,0,0,0,1,0
89119ec140fffff,1,2,0,1,1,0,0,1,0,2
89119ec32c7ffff,7,0,0,1,0,0,0,0,0,0
89119ec140bffff,1,2,0,0,0,0,0,0,0,0
89119ec16b7ffff,4,0,0,1,0,0,0,0,0,0
89119ec149bffff,4,0,0,1,0,0,0,0,0,1
89119ec1623ffff,0,0,0,0,0,0,0,0,1,0
89119ec148fffff,3,0,0,0,1,0,0,1,0,1
89119ed8d43ffff,2,0,0,0,0,0,0,0,1,0
89119ed8d7bffff,6,0,0,1,0,0,0,1,0,2
89119ed89c7ffff,3,2,0,0,0,0,0,0,0,2
89119ed8903ffff,1,2,0,0,0,0,0,0,0,0
89119ed8d57ffff,3,0,0,1,0,0,0,0,0,2
89119ec1497ffff,4,0,0,0,1,0,0,0,0,1
89119ed8967ffff,3,0,0,0,0,0,0,0,0,2
89119ec168fffff,6,0,1,0,0,0,0,0,0,1
89119ec16b3ffff,4,0,0,0,0,0,0,0,0,1
89119ed8887ffff,0,0,0,0,2,0,0,0,0,0
89119ed88b3ffff,0,0,0,0,1,0,0,0,0,0
89119ed8d4fffff,2,0,0,0,0,0,0,0,0,1
89119ed8d6fffff,0,2,0,0,0,0,0,0,0,0
89119ed88abffff,0,0,0,0,2,0,0,0,0,0
89119ec1637ffff,0,0,0,0,0,0,1,0,4,0
89119ec3227ffff,6,0,1,0,0,0,0,0,0,0
89119ec3237ffff,4,0,0,0,0,0,0,0,0,0
89119ec141bffff,6,0,0,0,0,0,1,0,0,0
89119ec1443ffff,3,0,0,0,1,0,0,0,0,0
89119ec334fffff,1,0,0,0,0,0,0,0,0,0
89119ed8d23ffff,9,0,0,0,0,0,0,0,0,0
89119ed8d13ffff,3,0,0,0,1,0,0,0,0,0
89119ec32d7ffff,2,0,0,0,0,0,0,0,0,0
89119ec3287ffff,1,0,0,0,0,0,0,0,0,0
89119ec328fffff,1,0,0,0,0,0,1,0,0,0
89119ec32abffff,1,0,0,0,0,0,0,0,0,0
89119ec32a3ffff,1,0,0,0,0,0,0,0,0,0
89119ed89cfffff,4,0,0,0,0,0,0,0,0,0
89119ed891bffff,4,0,0,0,0,0,0,0,0,0
89119ed8897ffff,1,0,0,0,0,0,0,0,0,0
89119ec32bbffff,6,0,0,0,0,0,0,0,0,0
89119ec160fffff,16,0,0,0,0,0,0,0,0,0
89119ed899bffff,1,0,0,0,0,0,0,0,0,0
89119ec162bffff,2,0,1,0,0,0,0,0,0,0
89119ed89d3ffff,2,0,0,0,0,0,0,0,0,0
89119ec1677ffff,2,0,0,1,0,0,0,0,0,0
89119ed898fffff,2,0,0,0,0,0,1,0,0,0
89119ec1477ffff,1,0,0,0,0,0,0,0,0,0
89119ec16a7ffff,2,0,0,0,0,0,0,0,0,0
89119ed88a3ffff,0,0,0,0,1,0,0,0,2,0
89119ec143bffff,1,0,0,0,0,0,0,0,0,0
89119ec1633ffff,1,0,0,0,0,0,0,0,0,0
89119ec1487ffff,5,0,0,0,0,0,0,0,0,0
89119ec334bffff,1,0,0,0,0,0,0,0,0,0
89119ed8c2fffff,1,0,0,0,0,0,0,0,0,0
89119ec102fffff,0,0,1,0,0,0,0,0,0,0
89119ec1467ffff,0,0,1,0,0,0,0,0,0,0
89119ec14afffff,0,0,0,0,0,0,1,0,0,0
89119eca29bffff,3,1,0,1,1,0,1,0,3,1
89119ec8487ffff,7,2,0,1,0,0,0,2,3,1
89119ec84a3ffff,1,3,0,1,0,0,0,1,0,1
89119ec84afffff,3,2,0,1,1,1,0,0,0,0
89119ec8433ffff,5,1,0,3,0,0,0,0,0,2
89119ec8497ffff,9,2,1,3,1,0,1,0,1,0
89119eca357ffff,0,1,0,0,6,0,0,0,3,0
89119eca35bffff,4,2,0,1,0,0,1,0,2,0
89119eca34bffff,11,0,1,0,0,0,0,2,1,1
89119eca07bffff,10,0,4,0,2,0,2,1,0,0
89119eca347ffff,5,0,1,1,10,0,0,1,0,1
89119eca343ffff,8,0,0,4,0,0,1,3,1,1
89119ec8493ffff,0,2,0,0,0,0,0,0,0,0
89119ecb52fffff,14,2,0,2,0,0,1,2,0,2
89119eca2d3ffff,0,2,0,0,0,0,0,0,0,0
89119eca283ffff,9,4,4,0,0,0,1,4,2,4
89119eca073ffff,10,1,1,2,3,0,0,1,1,2
89119eca063ffff,12,0,0,0,1,1,1,0,0,0
89119ecb1d3ffff,9,0,0,2,0,0,0,0,0,2
89119eca34fffff,11,0,0,1,0,0,0,0,0,0
89119ec84abffff,7,0,0,1,0,0,0,0,0,0
89119ec84bbffff,4,1,0,0,0,0,0,0,0,1
89119eca303ffff,0,2,0,0,0,0,0,0,0,0
89119eca04fffff,14,2,0,1,4,0,1,5,1,3
89119ec84b3ffff,6,0,0,1,0,0,1,0,0,1
89119eca077ffff,11,1,0,1,2,0,2,1,0,1
89119eca66fffff,0,0,0,1,0,0,0,0,0,0
89119ecb577ffff,7,0,0,2,0,0,0,0,0,0
89119eca24bffff,16,0,0,1,0,0,0,0,0,0
89119ecb15bffff,8,0,0,2,0,0,0,0,0,1
89119eca30fffff,0,0,0,1,0,0,0,0,1,0
89119ecb567ffff,3,2,0,2,1,0,0,3,0,0
89119eca2d7ffff,0,2,1,0,0,0,1,0,1,0
89119eca04bffff,12,2,1,1,3,0,0,4,1,1
89119ec8437ffff,5,0,0,2,1,0,0,0,0,0
89119eca28fffff,9,1,1,1,0,0,1,1,1,0
89119ecb52bffff,7,1,0,1,0,0,0,0,1,1
89119ecb563ffff,1,1,0,0,0,0,0,0,0,0
